old_fields,new_fields,export?
apiVersion,Event_RG_Version,Y
city_id,Location_RG_ID,Y
latitude,Location_RG_Latitude,Y
longitude,Location_RG_Longitude,Y
utcOffset,Location_RG_utcOffset,Y
city,Location_RG_City,Y
country,Location_RG_Country,Y
RG_country,Location_RG_Country,Y
Location_NE_StateProvince,Location_NE_StateProvince,Y
Location_NE_Country,Location_NE_Country,Y
Location_NE_CountryA3,Location_NE_CountryA3,Y
Location_NE_CountryType,Location_NE_CountryType,Y
Location_NE_CountrySovereignState,Location_NE_CountrySovereignState,Y
Location_NE_Region,Location_NE_Region,Y
Location_NE_Continent,Location_NE_Continent,Y
Location_NE_CountryPopulation,Location_NE_CountryPopulation,Y
Location_NE_CountryPopulationYear,Location_NE_CountryPopulationYear,Y
Location_NE_CountryPopulationRank,Location_NE_CountryPopulationRank,Y
Location_NE_CountryGDP,Location_NE_CountryGDP,Y
Location_NE_CountryYearGDP,Location_NE_CountryYearGDP,Y
Location_NE_CountryEconomy,Location_NE_CountryEconomy,Y
Location_NE_CountryIncome,Location_NE_CountryIncome,Y
station,Station_RG_Name,Y
station_id,Station_RG_ID,Y
url,Station_RG_URL,Y
station_name,Station_SE_Name,Y
station_description,Station_SE_Description,Y
station_genre,Station_AR_Genre,Y
station_se_websiteURL,station_se_websiteURL,Y
language_code,Station_AR_LanguageCode,Y
station_format,station_ar_format,Y
station_form,Station_AR_Form,Y
station_frequency,station_ar_frequency,Y
annotator,Station_AR_Annotator,Y
event_id,Event_MA_ID,Y
time_station,Event_MA_TimeStation,Y
stream_title,Event_SE_Description,Y
stream_codec,Event_SE_Codec,Y
stream_bitrate,Event_SE_Bitrate,Y
stream_framerate,Event_SE_Framerate,Y
stream_channels,Event_SE_Channels,Y
artist_name,Artist_SP_Name,Y
artist_id,Artist_SP_ID,Y
artist_followers,Artist_SP_Followers,N
artist_popularity,Artist_SP_Popularity,N
artist_genres,Artist_SP_Genre,N
artist_image_url,Artist_SP_ImageURL,N
track_name,Track_SP_Name,Y
track_id,Track_SP_ID,Y
track_duration,Track_SP_Duration,N
track_year_released,Track_SP_Year,N
track_popularity,Track_SP_Popularity,N
track_loudness,Track_SP_Loudness,N
track_tempo,Track_SP_Tempo,N
track_key,Track_SP_Key,N
track_mode,Track_SP_Mode,N
track_beatsperbar,Track_SP_BeatsPerBar,N
track_danceability,Track_SP_Danceability,N
track_speechiness,Track_SP_Speechiness,N
Track_SP_Acousticness,Track_SP_Acousticness,N
track_instrumentalness,Track_SP_Instrumentalness,N
track_liveness,Track_SP_Liveness,N
track_energy,Track_SP_Energy,N
track_valence,Track_SP_Valence,N
metadata_editdist,Event_MA_MetadataReliability,Y
artist_qid,Artist_WD_QID,Y
wd_artist_name,Artist_WD_Name,Y
artist_type,Artist_WD_Type,Y
artist_description,Artist_WD_Description,Y
wd_artist_genres,Artist_WD_Genre,Y
artist_startyear,Artist_WD_StartYear,Y
artist_country,Artist_WD_Country,Y
artist_coordinates,Artist_WD_Coordinates,Y
artist_members,Artist_WD_Members,Y
artist_genders,Artist_WD_Genders,Y
artist_sexualorientations,Artist_WD_SexualOrientations,Y
artist_ethnicities,Artist_WD_Ethnicities,Y
artist_instruments,Artist_WD_Instruments,Y
artist_voicetypes,Artist_WD_VoiceTypes,Y
artist_website,Artist_WD_WebsiteURL,Y
artist_YouTubeID,Artist_WD_YouTubeID,Y
artist_MusixmatchID,Artist_WD_MusixmatchID,Y
artist_AZlyricsID,Artist_WD_AZlyricsID,Y
artist_MusicBrainzID,Artist_WD_MusicBrainzID,Y
track_qid,Track_WD_QID,Y
wd_track_name,Track_WD_Name,Y
track_description,Track_WD_Desciption,Y
track_opus,Track_WD_Opus,Y
track_form,Track_WD_Format,Y
track_tonality,Track_WD_Tonality,Y
track_instrumentation,Track_WD_Instrumentation,Y
score_url,Track_WD_ScoreURL,Y
track_language,Track_WD_Language,Y
track_yearreleased,Track_WD_Year,Y
track_composers,Track_WD_Composers,Y
track_lyricists,Track_WD_Lyricists,Y
track_geniusID,Track_WD_GeniusID,Y
track_MusicBrainzID,Track_WD_MusicBrainzID,Y
track_YouTubeID,Track_WD_YouTubeID,Y
group_ids,Artist_MA_GroupID,Y
member_ids,Artist_MA_MemberID,Y
